Tipo 1,Tipo 2,Tipo 3,Patogeno
123,102,122,115,114
123,102,122,115,114
123,102,122,115,114
123,102,122,115,114
123,102,122,115,114
123,102,122,115,114
123,102,122,115,114
123,102,122,115,114
123,102,122,115,114
123,102,122,115,114
123,102,122,115,114
123,102,122,115,114
123,102,122,115,114
123,102,122,115,114
123,102,122,115,114
123,102,123,114,114
123,102,123,114,114
123,102,123,114,114
123,102,123,114,114
123,102,123,114,114
123,102,124,113,114
123,102,124,113,114
123,102,124,113,114
123,102,124,113,114
123,102,124,113,114
123,102,124,113,114
123,102,124,113,114
123,102,124,113,114
124,102,124,112,114
124,102,124,112,114
124,102,124,112,114
124,102,124,112,114
124,102,124,112,114
124,102,124,112,114
124,102,124,112,114
124,102,124,112,114
124,102,124,112,114
125,102,123,112,114
125,102,123,112,114
125,102,123,112,114
125,102,123,112,114
125,102,123,112,114
125,102,123,112,114
125,102,123,112,114
125,102,123,112,114
125,102,123,112,114
125,102,123,112,114
125,102,123,112,114
125,102,123,112,114
125,102,123,112,114
125,102,123,112,114
125,102,123,112,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
124,102,124,112,114
124,102,124,112,114
124,102,124,112,114
123,103,124,112,114
124,103,124,111,114
124,103,124,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
124,104,124,110,114
124,104,124,110,114
124,103,125,110,114
124,103,125,110,114
124,102,125,111,114
124,102,125,111,114
124,102,125,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,102,124,111,114
125,101,125,111,114
125,101,125,111,114
125,101,125,111,114
125,101,125,111,114
125,101,125,111,114
125,101,125,111,114
124,101,125,112,114
124,101,125,112,114
124,101,125,112,114
124,101,125,112,114
124,101,125,112,114
124,101,125,112,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
124,101,126,111,114
123,101,126,112,114
123,101,126,112,114
123,101,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,101,126,113,114
122,101,126,113,114
122,101,126,113,114
122,101,126,113,114
122,101,126,113,114
122,102,125,113,114
122,102,125,113,114
121,102,125,114,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
